Usage: blowfish {e|d} <intput> <output> key
Cache il1:
Cache Set #30: misses - 4, hits - 57
Cache Set #31: misses - 2, hits - 30
Cache Set #32: misses - 2, hits - 30
Cache Set #33: misses - 2, hits - 30
Cache Set #34: misses - 2, hits - 30
Cache Set #35: misses - 2, hits - 30
Cache Set #36: misses - 2, hits - 30
Cache Set #37: misses - 2, hits - 30
Cache Set #38: misses - 2, hits - 30
Cache Set #39: misses - 2, hits - 30
Cache Set #40: misses - 2, hits - 30
Cache Set #41: misses - 2, hits - 30
Cache Set #42: misses - 2, hits - 30
Cache Set #43: misses - 2, hits - 30
Cache Set #44: misses - 2, hits - 30
Cache Set #45: misses - 2, hits - 30
Cache Set #46: misses - 2, hits - 30
Cache Set #47: misses - 2, hits - 30
Cache Set #48: misses - 2, hits - 30
Cache Set #49: misses - 2, hits - 30
Cache Set #50: misses - 2, hits - 30
Cache Set #51: misses - 2, hits - 30
Cache Set #52: misses - 2, hits - 30
Cache Set #53: misses - 2, hits - 30
Cache Set #54: misses - 2, hits - 30
Cache Set #55: misses - 3, hits - 45
Cache Set #56: misses - 3, hits - 65
Cache Set #57: misses - 3, hits - 92
Cache Set #58: misses - 4, hits - 76
Cache Set #59: misses - 4, hits - 70
Cache Set #60: misses - 3, hits - 31
Cache Set #61: misses - 2, hits - 30
Cache Set #62: misses - 2, hits - 30
Cache Set #63: misses - 2, hits - 30
Cache Set #64: misses - 2, hits - 25
Cache Set #65: misses - 1, hits - 15
Cache Set #66: misses - 1, hits - 15
Cache Set #67: misses - 2, hits - 15
Cache Set #68: misses - 1, hits - 15
Cache Set #69: misses - 1, hits - 15
Cache Set #70: misses - 1, hits - 15
Cache Set #71: misses - 1, hits - 15
Cache Set #72: misses - 1, hits - 15
Cache Set #73: misses - 1, hits - 15
Cache Set #74: misses - 1, hits - 15
Cache Set #75: misses - 1, hits - 15
Cache Set #76: misses - 1, hits - 15
Cache Set #77: misses - 1, hits - 15
Cache Set #78: misses - 1, hits - 15
Cache Set #79: misses - 1, hits - 15
Cache Set #80: misses - 1, hits - 15
Cache Set #81: misses - 1, hits - 15
Cache Set #82: misses - 1, hits - 15
Cache Set #83: misses - 1, hits - 15
Cache Set #84: misses - 1, hits - 15
Cache Set #85: misses - 1, hits - 15
Cache Set #86: misses - 1, hits - 15
Cache Set #87: misses - 1, hits - 15
Cache Set #88: misses - 1, hits - 15
Cache Set #89: misses - 1, hits - 15
Cache Set #90: misses - 1, hits - 15
Cache Set #91: misses - 1, hits - 15
Cache Set #92: misses - 1, hits - 15
Cache Set #93: misses - 1, hits - 15
Cache Set #94: misses - 1, hits - 15
Cache Set #95: misses - 1, hits - 15
Cache Set #96: misses - 1, hits - 15
Cache Set #97: misses - 1, hits - 15
Cache Set #98: misses - 1, hits - 15
Cache Set #99: misses - 1, hits - 15
Cache Set #100: misses - 1, hits - 15
Cache Set #101: misses - 1, hits - 15
Cache Set #102: misses - 1, hits - 15
Cache Set #103: misses - 1, hits - 15
Cache Set #104: misses - 1, hits - 15
Cache Set #105: misses - 1, hits - 15
Cache Set #106: misses - 1, hits - 15
Cache Set #107: misses - 1, hits - 15
Cache Set #108: misses - 1, hits - 15
Cache Set #109: misses - 1, hits - 15
Cache Set #110: misses - 1, hits - 15
Cache Set #111: misses - 1, hits - 15
Cache Set #112: misses - 1, hits - 15
Cache Set #113: misses - 1, hits - 15
Cache Set #114: misses - 1, hits - 15
Cache Set #115: misses - 1, hits - 15
Cache Set #116: misses - 1, hits - 15
Cache Set #117: misses - 1, hits - 15
Cache Set #118: misses - 1, hits - 15
Cache Set #119: misses - 1, hits - 15
Cache Set #120: misses - 1, hits - 15
Cache Set #121: misses - 1, hits - 15
Cache Set #122: misses - 1, hits - 15
Cache Set #123: misses - 1, hits - 15
Cache Set #124: misses - 1, hits - 15
Cache Set #125: misses - 1, hits - 15
Cache Set #126: misses - 2, hits - 20
Cache Set #127: misses - 2, hits - 28
