Cache il1:
Cache Set #0: misses - 4, hits - 31
Cache Set #1: misses - 4, hits - 25
Cache Set #2: misses - 2, hits - 19
Cache Set #3: misses - 4, hits - 43
Cache Set #4: misses - 2, hits - 35
Cache Set #5: misses - 5, hits - 26
Cache Set #6: misses - 6, hits - 89
Cache Set #7: misses - 6, hits - 74
Cache Set #8: misses - 3, hits - 75
Cache Set #9: misses - 4, hits - 58
Cache Set #10: misses - 6, hits - 120
Cache Set #11: misses - 10, hits - 66
Cache Set #12: misses - 9, hits - 48
Cache Set #13: misses - 8, hits - 108
Cache Set #14: misses - 9, hits - 342
Cache Set #15: misses - 8, hits - 216
Cache Set #16: misses - 6, hits - 108
Cache Set #17: misses - 7, hits - 70
Cache Set #18: misses - 5, hits - 144
Cache Set #19: misses - 3, hits - 113
Cache Set #20: misses - 3, hits - 55
Cache Set #21: misses - 4, hits - 80
Cache Set #22: misses - 6, hits - 128
Cache Set #23: misses - 6, hits - 66
Cache Set #24: misses - 6, hits - 104
Cache Set #25: misses - 5, hits - 89
Cache Set #26: misses - 4, hits - 2624
Cache Set #27: misses - 3, hits - 2744
Cache Set #28: misses - 6, hits - 376
Cache Set #29: misses - 11, hits - 867
Cache Set #30: misses - 10, hits - 722
Cache Set #31: misses - 9, hits - 954
Cache Set #32: misses - 11, hits - 826
Cache Set #33: misses - 11, hits - 410
Cache Set #34: misses - 12, hits - 230
Cache Set #35: misses - 14, hits - 240
Cache Set #36: misses - 6, hits - 83
Cache Set #37: misses - 10, hits - 67
Cache Set #38: misses - 8, hits - 37
Cache Set #39: misses - 5, hits - 42
Cache Set #40: misses - 4, hits - 39
Cache Set #41: misses - 8, hits - 79
Cache Set #42: misses - 12, hits - 110
Cache Set #43: misses - 11, hits - 98
Cache Set #44: misses - 10, hits - 75
Cache Set #45: misses - 8, hits - 67
Cache Set #46: misses - 9, hits - 63
Cache Set #47: misses - 9, hits - 68
Cache Set #48: misses - 10, hits - 95
Cache Set #49: misses - 6, hits - 82
Cache Set #50: misses - 9, hits - 135
Cache Set #51: misses - 8, hits - 114
Cache Set #52: misses - 6, hits - 84
Cache Set #53: misses - 6, hits - 97
Cache Set #54: misses - 3, hits - 62
Cache Set #55: misses - 3, hits - 24
Cache Set #56: misses - 4, hits - 1466
Cache Set #57: misses - 4, hits - 68
Cache Set #58: misses - 5, hits - 79
Cache Set #59: misses - 2, hits - 54
Cache Set #60: misses - 3, hits - 125
Cache Set #61: misses - 4, hits - 297
Cache Set #62: misses - 8, hits - 160
Cache Set #63: misses - 4, hits - 140
Cache Set #64: misses - 4, hits - 41
Cache Set #65: misses - 3, hits - 25
Cache Set #66: misses - 3, hits - 46
Cache Set #67: misses - 3, hits - 88
Cache Set #68: misses - 2, hits - 24
Cache Set #69: misses - 1, hits - 0
Cache Set #70: misses - 0, hits - 0
Cache Set #71: misses - 2, hits - 25
Cache Set #72: misses - 2, hits - 34
Cache Set #73: misses - 3, hits - 28
Cache Set #74: misses - 2, hits - 15
Cache Set #75: misses - 1, hits - 28
Cache Set #76: misses - 1, hits - 8
Cache Set #77: misses - 1, hits - 21
Cache Set #78: misses - 0, hits - 0
Cache Set #79: misses - 0, hits - 0
Cache Set #80: misses - 1, hits - 12
Cache Set #81: misses - 2, hits - 38
Cache Set #82: misses - 2, hits - 53
Cache Set #83: misses - 2, hits - 46
Cache Set #84: misses - 2, hits - 56
Cache Set #85: misses - 2, hits - 79
Cache Set #86: misses - 4, hits - 91
Cache Set #87: misses - 3, hits - 62
Cache Set #88: misses - 4, hits - 93
Cache Set #89: misses - 3, hits - 144
Cache Set #90: misses - 3, hits - 349
Cache Set #91: misses - 4, hits - 154
Cache Set #92: misses - 4, hits - 180
Cache Set #93: misses - 5, hits - 39
Cache Set #94: misses - 4, hits - 16
Cache Set #95: misses - 2, hits - 12
Cache Set #96: misses - 3, hits - 36
Cache Set #97: misses - 3, hits - 91
Cache Set #98: misses - 2, hits - 13
Cache Set #99: misses - 2, hits - 8
Cache Set #100: misses - 2, hits - 10
Cache Set #101: misses - 4, hits - 71
Cache Set #102: misses - 7, hits - 53
Cache Set #103: misses - 6, hits - 61
